Release 6.1i - Fit G.26
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

11-18-2004  9:30AM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  flasher.ngd
output file: flasher_pad.csv
Part type:   xcr3256xl
Speed grade: -10
Package:     tq144

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,MOSI,O,I/O,OUTPUT,,,,,,,,,
P2,SCLK,O,I/O,OUTPUT,,,,,,,,,
P3,GND,,GND,,,,,,,,,,
P4,TDI,,I/O/TDI,,,,,,,,,,
P5,nCS,O,I/O,OUTPUT,,,,,,,,,
P6,TIE,,I/O,,,,,,,,,,
P7,TIE,,I/O,,,,,,,,,,
P8,TIE,,I/O,,,,,,,,,,
P9,TIE,,I/O,,,,,,,,,,
P10,TIE,,I/O,,,,,,,,,,
P11,TIE,,I/O,,,,,,,,,,
P12,TIE,,I/O,,,,,,,,,,
P13,PE,,PORT_EN,,,,,,,,,,
P14,TIE,,I/O,,,,,,,,,,
P15,TIE,,I/O,,,,,,,,,,
P16,TIE,,I/O,,,,,,,,,,
P17,GND,,GND,,,,,,,,,,
P18,TIE,,I/O,,,,,,,,,,
P19,TIE,,I/O,,,,,,,,,,
P20,TMS,,I/O/TMS,,,,,,,,,,
P21,TIE,,I/O,,,,,,,,,,
P22,TIE,,I/O,,,,,,,,,,
P23,TIE,,I/O,,,,,,,,,,
P24,VCC,,VCC,,,,,,,,,,
P25,DP<0>,O,I/O,OUTPUT,,,,,,,,,
P26,DP<1>,O,I/O,OUTPUT,,,,,,,,,
P27,DP<2>,O,I/O,OUTPUT,,,,,,,,,
P28,DP<3>,O,I/O,OUTPUT,,,,,,,,,
P29,DP<4>,O,I/O,OUTPUT,,,,,,,,,
P30,DP<5>,O,I/O,OUTPUT,,,,,,,,,
P31,DP<6>,O,I/O,OUTPUT,,,,,,,,,
P32,DP<7>,O,I/O,OUTPUT,,,,,,,,,
P33,GND,,GND,,,,,,,,,,
P34,LE_DP,O,I/O,OUTPUT,,,,,,,,,
P35,TIE,,I/O,,,,,,,,,,
P36,TIE,,I/O,,,,,,,,,,
P37,TIE,,I/O,,,,,,,,,,
P38,TIE,,I/O,,,,,,,,,,
P39,TIE,,I/O,,,,,,,,,,
P40,TIE,,I/O,,,,,,,,,,
P41,TIE,,I/O,,,,,,,,,,
P42,OneW,I/O,I/O,BIDIR,,,,,,,,,
P43,TIE,,I/O,,,,,,,,,,
P44,TIE,,I/O,,,,,,,,,,
P45,TIE,,I/O,,,,,,,,,,
P46,TIE,,I/O,,,,,,,,,,
P47,TIE,,I/O,,,,,,,,,,
P48,TIE,,I/O,,,,,,,,,,
P49,TIE,,I/O,,,,,,,,,,
P50,VCC,,VCC,,,,,,,,,,
P51,VCC,,VCC,,,,,,,,,,
P52,GND,,GND,,,,,,,,,,
P53,TIE,,I/O,,,,,,,,,,
P54,TIE,,I/O,,,,,,,,,,
P55,TIE,,I/O,,,,,,,,,,
P56,TIE,,I/O,,,,,,,,,,
P57,GND,,GND,,,,,,,,,,
P58,VCC,,VCC,,,,,,,,,,
P59,GND,,GND,,,,,,,,,,
P60,L<3>,O,I/O,OUTPUT,,,,,,,,,
P61,L<0>,O,I/O,OUTPUT,,,,,,,,,
P62,L<1>,O,I/O,OUTPUT,,,,,,,,,
P63,L<2>,O,I/O,OUTPUT,,,,,,,,,
P64,GND,,GND,,,,,,,,,,
P65,L<4>,O,I/O,OUTPUT,,,,,,,,,
P66,L<5>,O,I/O,OUTPUT,,,,,,,,,
P67,L<6>,O,I/O,OUTPUT,,,,,,,,,
P68,L<7>,O,I/O,OUTPUT,,,,,,,,,
P69,L<8>,O,I/O,OUTPUT,,,,,,,,,
P70,L<9>,O,I/O,OUTPUT,,,,,,,,,
P71,L<10>,O,I/O,OUTPUT,,,,,,,,,
P72,TIE,,I/O,,,,,,,,,,
P73,VCC,,VCC,,,,,,,,,,
P74,L<11>,O,I/O,OUTPUT,,,,,,,,,
P75,TIE,,I/O,,,,,,,,,,
P76,VCC,,VCC,,,,,,,,,,
P77,DCDCON,O,I/O,OUTPUT,,,,,,,,,
P78,DCDCEN,O,I/O,OUTPUT,,,,,,,,,
P79,AuxReset,I,I/O,INPUT,,,,,,,,,
P80,TIE,,I/O,,,,,,,,,,
